Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
SMAD3 22036565 ChIP-Seq ESCs Mouse	18/1020	0.003259693000462039	0.03662709589610073	0	0	2.1817655012555535	12.493056002131194	CSGALNACT1;GALNT2;DAPK1;SEMA3B;HPCAL1;SLC2A1;NEAT1;GDPD5;CPLX1;POU2F3;SLC6A6;CCND3;MYCN;P4HA1;SH3PXD2A;NRIP1;GSE1;IGF2BP2
GATA2 21571218 ChIP-Seq MEGAKARYOCYTES Human	19/1111	0.0035464395516706456	0.039137493623793915	0	0	2.1167225631511344	11.942148898911425	CSGALNACT1;BNIP3L;ERRFI1;GALNT2;SERPINE1;AFAP1;NEAT1;DGKZ;UNC13D;CCND3;OBSCN;SH3PXD2A;LEP;MXI1;UBC;SH3BP5;HMG20B;CALM1;PIK3AP1
OCT4 18692474 ChIP-Seq MEFs Mouse	29/1992	0.0036230341282192354	0.03928131739016645	0	0	1.8327107035716308	10.300646864567025	HDAC2;EBI3;SLC2A1;PRKCZ;CPLX1;HK2;CCND3;PORCN;CYP11A1;MXI1;SH3BP5;STRA6;LYN;RANBP2;MME;ARID3A;ATP11A;TNFRSF1B;MID1;POU2F3;AES;NCOR2;DDB1;SLC6A6;MYCN;ITGA5;CALM1;PFKP;BCAT2
OLIG2 26023283 ChIP-Seq AINV15 Mouse	29/2000	0.0038363374417988197	0.03951427565052785	0	0	1.8244545915778791	10.14987357827977	ERRFI1;FLT1;SEMA3B;IL1RAP;GDPD5;NDRG1;CYP11A1;MXI1;NRIP1;GSE1;QSOX1;DLGAP2;SASH1;MFSD2A;RANBP2;EGLN3;LIMCH1;GPT2;MTUS1;ARID3A;NEAT1;MID1;MYCN;BMP1;P4HA1;SFXN3;HIST1H4H;MALAT1;GPRC5C
CJUN 26792858 Chip-Seq BT549 Human	29/2000	0.0038363374417988197	0.03951427565052785	0	0	1.8244545915778791	10.14987357827977	ERRFI1;SERPINE1;CORO1C;SH3PXD2A;BASP1;UBC;FLNB;ATG7;CSGALNACT1;TFAP2A;BNIP3L;EGLN3;GALNT2;PLCL2;ARHGEF16;MTUS1;AFAP1;INHBA;SYNJ2;NEAT1;HOPX;SLC6A6;MYCN;OBSCN;LEP;HIST1H4H;PLEKHM2;MALAT1;PFKP
CTCF 27219007 Chip-Seq ERYTHROID Human	29/2000	0.0038363374417988197	0.03951427565052785	0	0	1.8244545915778791	10.14987357827977	CSF1R;ERRFI1;PFKFB4;GDPD5;HK2;BASP1;ALOX5;MXI1;MAN1C1;STRA6;LYN;TGFB1;GALNT2;ARHGEF16;ACOT11;PSG1;MTUS1;ARID3A;PSG3;NEAT1;TNFRSF1B;UNC13D;OBSCN;PSG4;PSG6;SFXN3;PLEKHM2;CALM1;PFKP
FOXA2 19822575 ChIP-Seq HepG2 Human	39/2968	0.004357675473035285	0.044148253153046	0	0	1.679096834027201	9.12726229595713	GRAMD1B;SERPINE1;IL1RAP;LIMD1;PRKCZ;CYP19A1;TRAM2;HK2;SSFA2;CORO1C;LRRC1;INPP5B;FGD4;SH3PXD2A;UBC;PHACTR2;FLNB;SLC16A3;ATG7;CSGALNACT1;WWTR1;DAPK1;INSR;ANXA4;HPCAL1;MTUS1;AFAP1;ARID3A;ATP11A;SYNJ2;UNC13D;AES;BCL6;CPS1;HIST1H4H;PLEKHM2;ANGPTL4;PIK3AP1;DGKI
CEBPB 20176806 ChIP-Seq THIOMACROPHAGE Mouse	24/1588	0.005204587248757738	0.05187798257632712	0	0	1.8808767744039547	9.890054240829324	CSGALNACT1;LYN;SCARB1;COL27A1;CSNK2A2;SEMA3B;ARID3A;ATP11A;NEAT1;MTMR4;DGKZ;AES;FGD4;P4HA1;FAM120A;MXI1;MAN1C1;TRIM14;EPS8L1;HMG20B;MALAT1;IGF2BP2;GPRC5C;DLGAP2
PPARD 23208498 ChIP-Seq MDA-MB-231 Human	11/516	0.005382595059561475	0.05280069439379352	0	0	2.5979953550910646	13.573446699808821	LIMCH1;DIO2;HIST1H4H;FLNB;MALAT1;PLIN2;IL1RAP;ANGPTL4;LIMD1;MID1;HIST1H2AC
MITF 21258399 ChIP-Seq MELANOMA Human	64/5578	0.005583218107857001	0.05391294985399417	0	0	1.5241137654610615	7.90708689328239	ERRFI1;SCARB1;ANKRD37;SERPINE1;SLC2A1;IL1RAP;LIMD1;TRAM2;HK2;LRRC1;SH3PXD2A;TIMP2;HMG20B;MFSD2A;CSGALNACT1;BNIP3L;MME;LIMCH1;DAPK1;ANXA4;ACOT11;HPCAL1;MTUS1;SERPINB9;ATP11A;NEAT1;TNFRSF1B;MID1;UNC13D;NCOR2;OBSCN;OAF;MALAT1;HDAC2;SEMA3B;GDPD5;PRKCZ;SLC7A1;CORO1C;FSTL3;INPP5B;FGD4;MXI1;UBC;NRIP1;MAN1C1;EPS8L1;FLNB;IGF2BP2;ATG7;SASH1;TFAP2A;WWTR1;PLEKHA5;RASSF8;MTSS1L;SYNJ2;GP6;SLC6A8;BCL6;LEP;PLEKHM2;CALM1;PFKP
RUNX1 21571218 ChIP-Seq MEGAKARYOCYTES Human	59/5071	0.006169721452383849	0.05865981319343413	0	0	1.5298109099564554	7.783833319623187	ERRFI1;SCARB1;FLT1;SERPINE1;SLC2A1;LIMD1;TRAM2;TIMP2;PHACTR2;SLC16A3;DLGAP2;CSGALNACT1;DAPK1;GPT2;ANXA4;HPCAL1;AFAP1;NEAT1;DGKZ;NCOR2;DDB1;MALAT1;ITGA5;GRAMD1B;HDAC2;MTMR4;PRKCZ;CPLX1;SLC7A1;CORO1C;FSTL3;INPP5B;FGD4;ALOX5;MXI1;UBC;NRIP1;SH3BP5;MAN1C1;MGAT3;FLNB;RDH13;ATG7;LYN;RANBP2;WWTR1;TGFB1;GALNT2;INSR;PLCL2;ARID3A;SYNJ2;GP6;SLC6A6;BMP1;BCL6;PAEP;CALM1;PIK3AP1
DROSHA 22980978 ChIP-Seq HELA Human	10/456	0.006473994582223641	0.060620131088094095	0	0	2.665960549121021	13.436339755310147	NCOR2;OBSCN;SH3PXD2A;ALOX5;INSR;FLT4;AFAP1;SYNJ2;NEAT1;PRKCZ
SMAD4 21741376 ChIP-Seq ESCs Human	28/2000	0.007237767350204609	0.06127315373186915	0	0	1.7484087570819054	8.616932020854707	HDAC2;SEMA3B;LIMD1;PRKCZ;CPLX1;HK2;FZR1;SH3PXD2A;MS4A15;TIMP2;IGF2BP2;DLGAP2;BNIP3L;EGLN3;PLCL2;ARHGEF16;RASSF8;SERPINB9;GP6;DGKZ;UNC13D;HOPX;DDB1;OBSCN;FAM153C;PSG7;PAEP;DGKI
TBX20 22080862 ChIP-Seq HEART Mouse	28/2000	0.007237767350204609	0.06127315373186915	0	0	1.7484087570819054	8.616932020854707	GRAMD1B;SLC2A1;LIMD1;CPLX1;HK2;FGD4;SH3PXD2A;MXI1;PHACTR2;RDH13;SLC16A3;MFSD2A;GALNT2;LIMCH1;ATP11A;NEAT1;HOPX;NCOR2;BMP1;P4HA1;BCL6;TRIM14;HIST1H4H;PLEKHM2;MALAT1;PLIN2;PFKP;BCAT2
TBX20 22328084 ChIP-Seq HEART Mouse	28/2000	0.007237767350204609	0.06127315373186915	0	0	1.7484087570819054	8.616932020854707	GRAMD1B;SLC2A1;LIMD1;CPLX1;HK2;FGD4;SH3PXD2A;MXI1;PHACTR2;RDH13;SLC16A3;MFSD2A;GALNT2;LIMCH1;ATP11A;NEAT1;HOPX;NCOR2;BMP1;P4HA1;BCL6;TRIM14;HIST1H4H;PLEKHM2;MALAT1;PLIN2;PFKP;BCAT2
UBF1/2 26484160 Chip-Seq HMEC-DERIVED Human	28/2000	0.007237767350204609	0.06127315373186915	0	0	1.7484087570819054	8.616932020854707	ERRFI1;SCARB1;SEMA3B;LIMD1;HK2;FSTL3;SH3PXD2A;UBC;MAN1C1;SLC16A3;STRA6;MFSD2A;TFAP2A;WWTR1;TGFB1;GALNT2;ARHGEF16;PLEKHA5;NEAT1;DGKZ;OBSCN;SLC6A8;P4HA1;FAM153C;SFXN3;ITGA5;CALM1;GPRC5C
KDM2B 26808549 Chip-Seq DND41 Human	28/2000	0.007237767350204609	0.06127315373186915	0	0	1.7484087570819054	8.616932020854707	GRAMD1B;SCARB1;SLC2A1;HK2;FSTL3;CCND3;CYP11A1;MXI1;MAN1C1;QSOX1;SLC16A3;MFSD2A;EGLN3;TGFB1;GALNT2;INSR;ACOT11;HPCAL1;CORO2A;NEAT1;TNFRSF1B;DGKZ;OBSCN;BCL6;MALAT1;CALM1;PPP1R12C;PFKP
BCOR 27268052 Chip-Seq Bcells Human	28/2000	0.007237767350204609	0.06127315373186915	0	0	1.7484087570819054	8.616932020854707	HDAC2;SEMA3B;LIMD1;SLC7A1;FZR1;EBP;MS4A15;RDH13;IGF2BP2;HIST1H2AC;EGLN3;ANXA4;HPCAL1;NEAT1;GP6;UNC13D;DDB1;SLC6A6;BMP1;BCL6;FAM153C;PSG7;LEP;HIST1H4H;PAEP;ITGA5;PPP1R12C;ENG
SOX2 27498859 Chip-Seq STOMACH Mouse	28/2000	0.007237767350204609	0.06127315373186915	0	0	1.7484087570819054	8.616932020854707	ERRFI1;HTRA4;NGLY1;SEMA3B;NDRG1;CORO1C;FAM120A;UBC;MGAT3;PHACTR2;FLNB;QSOX1;FAM83D;SASH1;BNIP3L;GPT2;ARHGEF16;MTUS1;AFAP1;NEAT1;DGKZ;NCOR2;SLC6A8;TRIM14;HIST1H4H;MALAT1;ANGPTL4;BCAT2
ESR1 22446102 ChIP-Seq UTERUS Mouse	27/1916	0.007689943877384921	0.0642214231922146	0	0	1.7561150713938665	8.548490338938112	GRAMD1B;SCARB1;LIMD1;PRKCZ;TRAM2;SLC7A1;FGD4;SH3PXD2A;NRIP1;SH3BP5;GSE1;FLNB;ATG7;SASH1;LYN;DAPK1;PLEKHA5;AFAP1;RASSF8;SYNJ2;NCOR2;BCL6;OAF;LEP;ANGPTL4;GPRC5C;ENG
FOXP2 23625967 ChIP-Seq PFSK-1 AND SK-N-MC Human	15/863	0.008090867933290148	0.06590043232665124	0	0	2.1247686290900405	10.235051428404262	BNIP3L;SCARB1;FLT4;SERPINE1;INHBA;SYNJ2;NDRG1;NCOR2;SLC6A6;CCND3;TIMP2;NABP1;ATG7;HIST1H2AC;ENG
MTF2 20144788 ChIP-Seq MESCs Mouse	38/2981	0.008104260286125394	0.06590043232665124	0	0	1.6148601200588968	7.776141538803627	GRAMD1B;FLT1;FLT4;HTRA4;GDPD5;NDRG1;SLC7A1;MXI1;NRIP1;SH3BP5;TIMP2;MAN1C1;GSE1;PHACTR2;IGF2BP2;DLGAP2;CSGALNACT1;LYN;TGFB1;COL27A1;LIMCH1;DAPK1;PLCL2;MOCOS;HPCAL1;MTUS1;ARID3A;ATP11A;INHBA;DGKZ;POU2F3;ADAMTS20;BMP1;BCL6;OAF;PIK3AP1;GPRC5C;DGKI
TCF3 18347094 ChIP-ChIP MESCs Mouse	30/2221	0.008891637997353295	0.07136405561512126	0	0	1.6886627749247558	7.974953113169426	SLC2A1;HK2;FGD4;CCND3;PORCN;BASP1;MXI1;NRIP1;MGAT3;GSE1;HMG20B;IGF2BP2;DLGAP2;SASH1;STRA6;WWTR1;EGLN3;MOCOS;MTUS1;TNFRSF1B;MID1;POU2F3;UNC13D;NCOR2;MYCN;BCL6;CALM1;GPRC5C;PFKP;BCAT2
ESR1 15608294 ChIP-ChIP MCF-7 Human	4/98	0.010403119205309326	0.08242471370360466	0	0	4.968651642956062	22.68512235746034	SCARB1;SERPINE1;SERPINB9;DGKI
RUNX1 22412390 ChIP-Seq EML Mouse	27/2000	0.01314114689088814	0.09903937534840086	0	0	1.6734754806323726	7.249507475213124	ANKRD37;SERPINE1;SLC2A1;MTMR4;SLC7A1;CCND3;CYP11A1;ALOX5;FAM120A;UBC;GSE1;HMG20B;FLNB;QSOX1;RANBP2;EGLN3;TGFB1;PLCL2;NEAT1;DGKZ;POU2F3;SLC6A6;OAF;HIST1H4H;MALAT1;CALM1;PPP1R12C
SMC1 22415368 ChIP-Seq MEFs Mouse	27/2000	0.01314114689088814	0.09903937534840086	0	0	1.6734754806323726	7.249507475213124	SEMA3B;SLC2A1;MTMR4;NDRG1;FSTL3;SH3PXD2A;FAM120A;NRIP1;MAN1C1;GSE1;HMG20B;FAM83D;CSGALNACT1;EGLN3;MME;DAPK1;ARHGEF16;DIO2;AFAP1;INHBA;CORO2A;TNFRSF1B;BMP1;P4HA1;BCL6;MALAT1;CALM1
TCF12/HEB 22897851 ChIP-Seq JUKARTE6-1 Human	27/2000	0.01314114689088814	0.09903937534840086	0	0	1.6734754806323726	7.249507475213124	ERRFI1;FLT4;NDRG1;PRKCZ;CPLX1;SLC7A1;LRRC1;FGD4;SH3BP5;MAN1C1;FLNB;ATG7;BNIP3L;DAPK1;PLCL2;SYNJ2;CORO2A;TNFRSF1B;DGKZ;MYCN;OBSCN;P4HA1;FAM153C;TRIM14;HIST1H4H;PLIN2;CALM1
KLF4 26769127 Chip-Seq PDAC-Cell line Human	27/2000	0.01314114689088814	0.09903937534840086	0	0	1.6734754806323726	7.249507475213124	ERRFI1;SERPINE1;SLC2A1;SLC7A1;SSFA2;SH3PXD2A;CYP11A1;ALOX5;MXI1;NRIP1;MAN1C1;FLNB;QSOX1;SLC16A3;MFSD2A;WWTR1;TGFB1;GALNT2;ARHGEF16;HPCAL1;AFAP1;DGKZ;SLC6A6;SFXN3;PLEKHM2;PIK3AP1;PFKP
GATA2 21666600 ChIP-Seq HMVEC Human	14/837	0.014131729116797482	0.10522179029133548	0	0	2.0331812589315055	8.659995457265989	CSGALNACT1;ERRFI1;LIMCH1;GPT2;SERPINE1;DIO2;PLEKHA5;SYNJ2;TRAM2;FGD4;FZR1;SFXN3;HMG20B;ENG
TP53 23651856 ChIP-Seq MEFs Mouse	39/3193	0.014344581926094026	0.1055351384562632	0	0	1.5385509043242884	6.5301992632515535	GRAMD1B;PFKFB4;SLC2A1;GDPD5;SLC7A1;CORO1C;LRRC1;INPP5B;FAM120A;UBC;MAN1C1;GSE1;HMG20B;FLNB;FAM83D;ATG7;DLGAP2;SASH1;STRA6;CSGALNACT1;COL27A1;GALNT2;DAPK1;HPCAL1;MTUS1;MTSS1L;ARID3A;SYNJ2;NEAT1;MID1;UNC13D;NCOR2;SLC6A6;SLC6A8;P4HA1;ITGA5;CALM1;DGKI;ENG
WDR5 24793694 ChIP-Seq LNCAP Human	13/757	0.014601433995421041	0.1061610142255318	0	0	2.0839969758064516	8.808295675332207	LYN;BNIP3L;EGLN3;INSR;NGLY1;DIO2;HPCAL1;PLEKHA5;NDRG1;IGF2BP2;CALM1;DLGAP2;ENG
NR1H3 23393188 ChIP-Seq ATHEROSCLEROTIC-FOAM Human	11/599	0.015323674960754013	0.10936074548502424	0	0	2.2216868228772992	9.28299905188591	SLC6A6;PFKFB4;BASP1;EBI3;NRIP1;CSNK2A2;SLC2A1;PHACTR2;IGF2BP2;GDPD5;SASH1
ESR1 17901129 ChIP-ChIP LIVER Mouse	9/444	0.015395444752746129	0.10936074548502424	0	0	2.446425567703953	10.21060629157329	LYN;BCL6;MME;GPT2;NRIP1;MTUS1;SH3BP5;PIK3AP1;GPRC5C
SPI1 20176806 ChIP-Seq THIOMACROPHAGE Mouse	23/1654	0.015889817192759805	0.111589852558245	0	0	1.7106396893521356	7.0856009756352245	CSGALNACT1;LYN;COL27A1;SERPINE1;CSNK2A2;ARID3A;SERPINB9;NEAT1;GP6;NDRG1;DGKZ;INPP5B;FGD4;CCND3;P4HA1;FAM120A;MXI1;EPS8L1;HMG20B;MALAT1;QSOX1;ITGA5;GPRC5C
OLIG2 23332759 ChIP-Seq OLIGODENDROCYTES Mouse	27/2040	0.01666765572330445	0.11573720491013652	0	0	1.6365473735785885	6.700491724429332	ERRFI1;HDAC2;IL1RAP;SSFA2;LRRC1;FGD4;BASP1;ALOX5;PHACTR2;FLNB;DLGAP2;CSGALNACT1;WWTR1;EGLN3;MME;LIMCH1;DAPK1;GPT2;DIO2;MTUS1;INHBA;SLC6A8;CPS1;PLIN2;PIK3AP1;DGKI;NEK11
TP63 23658742 ChIP-Seq EP156T Human	43/3652	0.01818469988374198	0.12486827253502826	0	0	1.4863993861500095	5.956262020497094	ERRFI1;PFKFB4;SERPINE1;SLC2A1;NDRG1;HK2;CORO1C;SH3PXD2A;ALOX5;MXI1;MS4A15;PHACTR2;HMG20B;RDH13;SASH1;MFSD2A;TFAP2A;WWTR1;MME;GALNT2;ANXA4;HPCAL1;PSG1;PLEKHA5;MTUS1;AFAP1;MTSS1L;INHBA;SYNJ2;CORO2A;MID1;HOPX;ADAMTS20;NCOR2;SLC6A6;BMP1;KIF2A;PLEKHM2;MALAT1;CALM1;DGKI;PFKP;NEK11
TAL1 26923725 Chip-Seq HEMANGIOBLAST Mouse	20/1413	0.020291105929753042	0.1378011369734877	0	0	1.7298443665573433	6.742194040787755	EGLN3;DAPK1;INSR;NGLY1;AFAP1;INHBA;SYNJ2;NDRG1;TRAM2;HK2;LRRC1;SLC6A6;MYCN;BCL6;SH3PXD2A;ALOX5;NRIP1;MGAT3;QSOX1;FAM83D
NFE2L2 20460467 ChIP-Seq MEFs Mouse	16/1055	0.020844985640943805	0.1385182916785298	0	0	1.8428302569226902	7.132935926866953	EGLN3;DAPK1;GPT2;SERPINE1;RASSF8;SERPINB9;SYNJ2;MID1;TRAM2;KIF2A;P4HA1;BCL6;UBC;SH3BP5;IGF2BP2;SASH1
NRF2 20460467 ChIP-Seq MEFs Mouse	16/1055	0.020844985640943805	0.1385182916785298	0	0	1.8428302569226902	7.132935926866953	EGLN3;DAPK1;GPT2;SERPINE1;RASSF8;SERPINB9;SYNJ2;MID1;TRAM2;KIF2A;P4HA1;BCL6;UBC;SH3BP5;IGF2BP2;SASH1
MYC 22102868 ChIP-Seq BL Human	13/797	0.021336362738652685	0.1402752358775251	0	0	1.9735251913265306	7.592827325645035	SCARB1;TGFB1;INSR;SLC2A1;ARID3A;MTMR4;NCOR2;SLC6A6;KIF2A;TRIM14;MALAT1;PIK3AP1;ENG
PAX3-FKHR 20663909 ChIP-Seq RHABDOMYOSARCOMA Human	16/1063	0.022183018537445663	0.14203940884561622	0	0	1.8279707261876517	6.96169528717188	LYN;ERRFI1;SCARB1;MME;LIMCH1;DAPK1;GP6;LIMD1;TRAM2;NCOR2;MYCN;BASP1;UBC;FLNB;QSOX1;SASH1
JUN 26020271 ChIP-Seq SMOOTH MUSCLE Human	26/2000	0.02294815519174186	0.14203940884561622	0	0	1.5996319500444556	6.037839156131263	FLT1;SERPINE1;SLC2A1;NDRG1;HK2;FZR1;PORCN;SH3PXD2A;MXI1;UBC;SH3BP5;TIMP2;WWTR1;MOCOS;RASSF8;INHBA;NEAT1;TNFRSF1B;KIF2A;OAF;HIST1H4H;MALAT1;ANGPTL4;CALM1;PFKP;BCAT2
NCOR1 26117541 ChIP-Seq K562 Human	26/2000	0.02294815519174186	0.14203940884561622	0	0	1.5996319500444556	6.037839156131263	EBI3;SLC2A1;INPP5B;CYP11A1;UBC;MGAT3;HMG20B;SLC16A3;STRA6;BNIP3L;DAPK1;SERPINB9;CORO2A;NEAT1;TNFRSF1B;NCOR2;SLC6A8;KIF2A;P4HA1;BCL6;MALAT1;GPRC5C;PPP1R12C;DGKI;PFKP;ENG
GATA4 25053715 ChIP-Seq YYC3 Human	26/2000	0.02294815519174186	0.14203940884561622	0	0	1.5996319500444556	6.037839156131263	ERRFI1;HDAC2;SLC2A1;IL1RAP;CPLX1;SSFA2;LRRC1;EBP;ALOX5;MGAT3;FLNB;QSOX1;TFAP2A;DAPK1;GPT2;ANXA4;AFAP1;ARID3A;CORO2A;TNFRSF1B;BCL6;PLEKHM2;MALAT1;CALM1;PPP1R12C;BCAT2
CREB1 26743006 Chip-Seq LNCaP-abl Human	26/2000	0.02294815519174186	0.14203940884561622	0	0	1.5996319500444556	6.037839156131263	ERRFI1;PFKFB4;SLC2A1;LIMD1;GDPD5;SLC7A1;HK2;LRRC1;FSTL3;FZR1;UBC;MAN1C1;HMG20B;FLNB;QSOX1;MFSD2A;MME;GPT2;INSR;ARHGEF16;NEAT1;SLC6A8;SFXN3;MALAT1;CALM1;GPRC5C
FLI1 21571218 ChIP-Seq MEGAKARYOCYTES Human	63/5834	0.02321908366045375	0.14203940884561622	0	0	1.394949669979994	5.248889788945646	SCARB1;FLT1;SERPINE1;NGLY1;SLC2A1;LIMD1;LRRC1;CCND3;SH3PXD2A;MS4A15;SLC16A3;DLGAP2;MFSD2A;BNIP3L;GPT2;ANXA4;ACOT11;DIO2;HPCAL1;AFAP1;SERPINB9;NEAT1;UNC13D;NCOR2;DDB1;KIF2A;OAF;MALAT1;PLIN2;ITGA5;GPRC5C;PPP1R12C;ENG;CSF1R;ATP2C2;MTMR4;NDRG1;CYP19A1;CORO1C;INPP5B;CYP11A1;ALOX5;MXI1;UBC;NRIP1;MAN1C1;MGAT3;RDH13;ATG7;SASH1;LYN;TGFB1;GALNT2;INSR;PLCL2;ARID3A;GP6;SLC6A6;SFXN3;HIST1H4H;CALM1;PIK3AP1;PFKP
ZFP281 18757296 ChIP-ChIP E14 Mouse	26/2004	0.023463730428659478	0.14203940884561622	0	0	1.596039426893103	5.98881784151414	HDAC2;SERPINE1;MTMR4;GDPD5;HK2;CCND3;SH3PXD2A;MXI1;UBC;GSE1;SASH1;WWTR1;TGFB1;MME;INSR;ARID3A;SYNJ2;DGKZ;AES;NCOR2;SLC6A6;MYCN;SLC6A8;ITGA5;GPRC5C;BCAT2
NANOG 18347094 ChIP-ChIP MESCs Mouse	25/1908	0.023518615612923906	0.14203940884561622	0	0	1.6097084870319072	6.036347295613282	HK2;FGD4;CCND3;PORCN;BASP1;NRIP1;MGAT3;GSE1;IGF2BP2;DLGAP2;SASH1;STRA6;RANBP2;EGLN3;MOCOS;MTUS1;SYNJ2;TNFRSF1B;POU2F3;NCOR2;MYCN;BCL6;HIST1H4H;CALM1;PFKP
ZNF263 19887448 ChIP-Seq K562 Human	3/71	0.0236732348076027	0.14203940884561622	0	0	5.127768166089965	19.195339666589142	OAF;EBI3;ENG
SMAD4 19686287 ChIP-ChIP HaCaT Human	8/405	0.024926333949225558	0.1481199459675134	0	0	2.372948629875582	8.76052399866762	FGD4;ANXA4;SERPINE1;UBC;MALAT1;ATP11A;NDRG1;SLC7A1
SREBP1 19666523 ChIP-Seq LIVER Mouse	12/738	0.027035557428482314	0.15912356657906734	0	0	1.9609876289718187	7.080346517149592	NCOR2;FGD4;ERRFI1;SCARB1;BCL6;LEP;MXI1;UBC;ARID3A;QSOX1;TNFRSF1B;PRKCZ
CREB1 20920259 ChIP-Seq GC1-SPG Mouse	36/3057	0.030962306197926157	0.18051608707847513	0	0	1.4618256148565878	5.079821709193114	ERRFI1;FLT4;SEMA3B;SLC2A1;MTMR4;NDRG1;HK2;CORO1C;CCND3;SH3PXD2A;MXI1;UBC;NRIP1;FLNB;RDH13;SLC16A3;ATG7;DLGAP2;RANBP2;BNIP3L;AFAP1;CORO2A;NEAT1;MID1;ADAMTS20;NCOR2;DDB1;SLC6A6;SFXN3;HIST1H4H;MALAT1;PIK3AP1;GPRC5C;PPP1R12C;BCAT2;NEK11
TCF7L2 21901280 ChIP-Seq H4IIE Rat	15/1023	0.03222238859196738	0.18456678470773502	0	0	1.7724344484629295	6.088478531918121	WWTR1;EGLN3;HPCAL1;ATP11A;PRKCZ;POU2F3;NCOR2;SLC6A6;CPS1;SH3PXD2A;SH3BP5;FAM83D;PIK3AP1;GPRC5C;DLGAP2
PKCTHETA 26484144 Chip-Seq BREAST Human	9/506	0.03225438956057505	0.18456678470773502	0	0	2.134391716150562	7.329717014107313	TFAP2A;INPP5B;UBC;MALAT1;SYNJ2;NEAT1;CALM1;MTMR4;ATG7
EZH2 23942234 ChIP-Seq MYOBLASTS AND MYOTUBES Mouse	14/935	0.03261711918894572	0.18493008861255464	0	0	1.807469321697089	6.186819275587018	SCARB1;AFAP1;SYNJ2;UNC13D;CORO1C;AES;FSTL3;NCOR2;BCL6;SFXN3;PHACTR2;FLNB;DLGAP2;DGKI
EGR1 19032775 ChIP-ChIP M12 Human	6/276	0.03318290620442362	0.18642760031212544	0	0	2.6023952095808385	8.863030477587728	PSG9;SLC6A6;PSG4;SEMA3B;PSG1;ITGA5
NR1I2 20693526 ChIP-Seq LIVER Mouse	14/939	0.03363221622390888	0.18724963627365482	0	0	1.799272480027197	6.103619594552208	ERRFI1;COL27A1;GALNT2;INSR;SERPINE1;PLEKHA5;MID1;PRKCZ;NCOR2;CPS1;SH3PXD2A;FLNB;PIK3AP1;ATG7
SRY 25088423 ChIP-ChIP EMBRYONIC GONADS Mouse	36/3083	0.034604670364990923	0.19094362754968208	0	0	1.4471096375757895	4.867739100696838	SCARB1;PFKFB4;CLIC3;SERPINE1;SEMA3B;SLC2A1;CPLX1;LRRC1;FZR1;TIMP2;IGF2BP2;SLC16A3;BNIP3L;COL27A1;LIMCH1;GPT2;ANXA4;CSNK2A2;RASSF8;SERPINB9;SYNJ2;DGKZ;POU2F3;ADAMTS20;NCOR2;MYCN;SLC6A8;KIF2A;LEP;TRIM14;HIST1H4H;ITGA5;CALM1;GPRC5C;PFKP;ENG
TET1 21490601 ChIP-Seq MESCs Mouse	25/1994	0.03736498115623562	0.19838779756519825	0	0	1.532023389565289	5.035793583943584	GRAMD1B;ANKRD37;FLT1;SERPINE1;HTRA4;PRKCZ;SSFA2;CORO1C;MXI1;SH3BP5;TIMP2;MAN1C1;GSE1;TGFB1;MME;GALNT2;INSR;ANXA4;ARHGEF16;MTUS1;CORO2A;BMP1;LEP;CALM1;GPRC5C
AHR 22903824 ChIP-Seq MCF-7 Human	11/690	0.03782118057443588	0.19838779756519825	0	0	1.9148348151784578	6.270865729741669	TFAP2A;BCL6;BASP1;FAM153C;PSG6;UBC;NRIP1;SEMA3B;RASSF8;SYNJ2;POU2F3
CEBPB 21427703 ChIP-Seq 3T3-L1 Mouse	25/2000	0.03852190243984432	0.19838779756519825	0	0	1.5268559698939446	4.9722496834745495	SCARB1;SLC2A1;IL1RAP;NDRG1;TRAM2;FAM120A;NRIP1;SH3BP5;HMG20B;FLNB;SASH1;WWTR1;GPT2;INSR;AFAP1;ATP11A;NEAT1;TNFRSF1B;HOPX;NCOR2;BCL6;MALAT1;PLIN2;ITGA5;ANGPTL4
NEUROD2 26341353 ChIP-Seq CORTEX Mouse	25/2000	0.03852190243984432	0.19838779756519825	0	0	1.5268559698939446	4.9722496834745495	FLT1;MTMR4;LIMD1;CORO1C;FZR1;NRIP1;IGF2BP2;FAM83D;HIST1H2AC;EGLN3;GALNT2;PLCL2;ACOT11;CORO2A;NEAT1;ADAMTS20;MYCN;OBSCN;BMP1;BCL6;CPS1;LEP;TRIM14;HIST1H4H;MALAT1
RUNX2 24764292 ChIP-Seq MC3T3 Mouse	25/2000	0.03852190243984432	0.19838779756519825	0	0	1.5268559698939446	4.9722496834745495	GRAMD1B;FLT4;SERPINE1;NDRG1;TRAM2;HK2;CORO1C;TIMP2;GSE1;HMG20B;FLNB;DLGAP2;PLCL2;ACOT11;MTSS1L;ARID3A;NEAT1;TNFRSF1B;AES;NCOR2;MALAT1;ANGPTL4;CALM1;BCAT2;ENG
